3050 4030 3
990 4832 5.09 9.36
990 2408 14.2 30.93
991 3513 12.84 25.7
991 4612 6.76 13.82
991 86 3.92 5.24
991 1953 11.91 21.21
991 874 9.07 14.62
992 81 11.04 17.31
992 1527 4.33 10.24
992 4559 13.93 25.46
992 4428 18.87 26.22
992 832 8.25 17.47
993 490 12.73 29.21
993 4836 8.1 19.05
993 4883 13.25 30.19
993 3715 1.08 2.23
993 1505 10.54 19.77
994 1401 13.65 16.9
994 2178 15.93 21.83
994 708 2.39 5.0
994 3882 5.57 13.83
994 4687 9.65 15.14
995 66 6.04 10.29
995 308 17.15 29.2
995 3496 12.2 22.76
995 2011 5.87 8.15
995 3663 8.7 13.19
996 3126 17.37 30.56
996 3719 10.75 14.94
996 485 15.0 22.67
996 2954 11.29 17.65
996 4836 5.3 12.67
997 2026 19.2 35.66
997 4095 2.49 4.27
997 4593 10.35 22.47
997 4324 14.57 33.25
997 2099 17.83 30.33
998 4828 12.25 22.22
998 2444 13.59 30.9
998 1468 1.69 3.53
998 4626 4.9 6.76
998 1242 5.32 10.26
999 620 7.45 11.71
999 1103 3.95 5.66
999 2421 6.86 8.6
999 4235 8.23 19.47
999 287 3.69 6.08
1000 2296 12.92 24.6
1000 865 15.13 28.25
1000 82 16.37 26.05
1000 742 6.1 10.63
1000 2267 13.85 24.92
1001 1753 7.6 9.66
1001 4977 15.95 19.48
1001 190 1.22 2.61
1001 52 11.07 19.93
1001 2855 8.68 13.8
1002 2023 1.39 1.82
1002 4543 16.62 38.54
1002 4241 13.18 24.11
1002 3592 17.21 30.86
1002 4227 17.97 24.78
1003 2563 18.22 31.93
1003 797 18.88 44.32
1003 4295 10.74 25.18
1003 1007 11.97 20.0
1003 741 14.31 23.42
1004 3337 17.5 22.05
1004 1074 10.84 15.63
1004 2512 16.22 29.66
1004 1921 0.9 2.01
1004 1151 4.19 5.93
1005 4592 9.88 15.62
1005 3539 1.87 3.71
1005 2351 16.84 22.77
1005 4446 5.24 10.28
1005 3486 7.34 14.67
1006 989 1.21 2.68
1006 2893 6.14 13.05
1006 1034 6.69 9.44
1006 2633 1.21 2.48
1006 3872 18.13 30.81
1007 4071 4.44 5.41
1007 2727 0.7 1.45
1007 2683 8.26 15.94
1007 1228 19.69 27.51
1007 148 17.98 29.81
1008 3292 7.43 14.9
1008 1202 11.02 21.91
1008 1961 4.54 8.5
1008 4383 14.19 34.43
1008 709 18.57 28.49
1009 3828 5.68 12.29
1009 4432 11.82 19.15
1009 943 9.22 22.5
1009 4000 1.5 2.09
1009 3067 13.2 31.72
1010 1371 15.94 32.1
1010 3377 11.22 25.12
1010 4513 19.88 33.21
1010 4991 12.6 19.03
1010 3896 14.39 28.18
1011 3471 0.74 1.44
1011 4900 19.14 28.09
1011 1883 13.17 17.99
1011 4832 17.32 25.68
1011 1169 3.95 7.71
1012 819 16.01 20.73
1012 1590 8.73 12.71
1012 4668 4.07 8.58
1012 4937 18.27 33.82
1012 713 4.84 10.27
1013 444 0.66 1.03
1013 2680 5.23 7.16
1013 1379 8.76 15.08
1013 2307 16.63 25.09
1013 3885 16.26 37.3
1014 1318 5.81 11.77
1014 4025 10.84 16.18
1014 1648 16.26 40.36
1014 1273 8.91 13.44
1014 1892 5.2 12.13
1015 1895 9.01 20.28
1015 4491 6.41 15.03
1015 1356 8.34 13.11
1015 3743 12.12 18.31
1015 420 7.08 16.81
1016 1410 18.74 40.22
1016 2124 4.72 10.68
1016 92 3.17 5.68
1016 1086 1.08 1.47
1016 4923 6.83 10.75
1017 1352 10.53 15.99
1017 2720 0.75 1.77
1017 4151 18.72 38.59
1017 216 12.29 24.63
1017 4218 6.07 12.41
1018 1285 6.35 12.49
1018 24 4.05 8.36
1018 2607 5.28 9.57
1018 2631 7.93 15.28
1018 1051 10.9 25.73
1019 968 11.11 23.92
1019 1778 0.84 1.66
1019 4380 5.87 10.33
1019 4252 9.53 12.85
1019 3940 16.16 36.27
1020 749 3.17 4.04
1020 77 2.51 5.03
1020 1481 16.21 24.77
1020 3359 9.65 18.04
1020 22 13.19 21.6
1021 542 6.65 11.55
1021 1307 17.73 39.15
1021 4801 6.95 10.59
1021 1268 2.58 5.85
1021 2776 17.92 30.04
1022 2805 2.08 4.71
1022 368 15.52 36.83
1022 4217 14.27 22.11
1022 2498 3.04 4.71
1022 2061 1.69 2.2
1023 43 8.84 14.43
1023 1489 8.5 11.95
1023 2808 8.4 12.38
1023 667 0.9 1.09
1023 3564 14.69 26.24
1024 3340 10.0 19.55
1024 2778 5.34 10.97
1024 4780 10.47 14.94
1024 4269 10.74 17.7
1024 4499 1.16 2.41
1025 3834 1.51 3.47
1025 1922 11.84 22.75
1025 4084 5.58 8.45
1025 354 4.31 7.88
1025 4988 10.7 15.44
1026 2967 17.66 31.44
1026 687 17.52 22.14
1026 616 3.76 5.46
1026 2948 18.07 21.98
1026 1399 12.0 28.42
1027 3123 11.57 27.04
1027 4147 18.05 43.09
1027 3717 5.25 10.21
1027 329 8.24 18.44
1027 157 8.64 12.95
1028 2377 12.21 27.28
1028 2961 16.17 39.7
1028 3078 8.13 11.6
1028 162 9.3 12.01
1028 1452 17.09 40.0
1029 3235 9.27 12.27
1029 3799 10.98 15.68
1029 2428 14.3 25.89
1029 1047 2.18 5.11
1029 2928 12.78 16.76
1030 4953 6.27 7.54
1030 392 16.51 33.42
1030 2132 16.06 22.98
1030 2907 14.51 35.89
1030 1845 14.24 19.92
1031 611 15.21 32.93
1031 499 3.51 4.86
1031 3718 14.39 31.96
1031 2992 13.19 17.5
1031 2417 6.57 8.31
1032 4041 7.28 14.38
1032 859 0.85 1.45
1032 4160 5.6 9.68
1032 2353 19.89 27.19
1032 3975 9.91 12.67
1033 907 17.93 31.68
1033 2060 13.31 17.12
1033 1625 2.4 4.89
1033 1583 5.13 12.7
1033 2140 2.4 5.32
1034 2651 5.98 8.46
1034 1283 7.42 12.39
1034 4821 10.77 19.7
1034 29 1.34 2.09
1034 2220 14.96 30.46
1035 499 13.95 22.26
1035 1821 3.93 8.64
1035 879 9.35 12.18
1035 2264 4.67 9.43
1035 726 16.8 31.8
1036 2320 18.86 31.8
1036 88 7.2 16.42
1036 2271 13.38 18.17
1036 3090 10.09 18.41
1036 2200 6.95 14.3
1037 2476 17.02 21.37
1037 4330 1.05 1.57
1037 1625 17.43 31.78
1037 3343 8.67 17.31
1037 2035 7.51 13.62
1038 205 16.75 34.47
1038 2765 13.38 18.13
1038 4625 8.08 17.67
1038 867 14.48 18.11
1038 1283 8.2 19.54
1039 1578 15.76 35.5
1039 1423 7.18 12.49
1039 1208 18.76 41.34
1039 2064 0.53 1.07
1039 3645 0.99 2.21
1040 2598 0.71 1.47
1040 428 1.14 2.17
1040 4237 17.08 33.1
1040 4660 7.11 10.21
1040 4494 17.95 42.36
1041 799 3.43 6.26
1041 1409 18.48 40.08
1041 4558 5.33 10.56
1041 1027 19.29 38.44
1041 207 3.78 7.97
1042 164 9.04 16.22
1042 3155 9.44 11.9
1042 4771 3.88 8.25
1042 3026 6.05 12.5
1042 4847 13.82 27.52
1043 3623 3.46 8.3
1043 2317 7.21 16.77
1043 1714 8.26 18.88
1043 3707 4.21 7.36
1043 929 8.86 11.72
1044 2033 6.98 17.2
1044 3543 7.02 15.7
1044 2437 5.3 7.68
1044 410 1.28 2.06
1044 317 5.7 11.36
1045 670 18.9 24.16
1045 1404 14.4 25.19
1045 3470 10.49 23.28
1045 187 2.41 3.25
1045 4395 17.16 31.52
1046 970 5.76 12.94
1046 2079 18.83 22.98
1046 5 5.37 10.99
1046 2538 16.5 23.53
1046 1044 10.09 22.96
1047 1083 5.04 8.47
1047 2077 11.78 16.27
1047 1986 15.42 22.86
1047 3881 1.13 1.83
1047 1635 1.76 3.74
1048 4582 13.15 27.4
1048 583 19.98 38.1
1048 1489 6.4 14.46
1048 655 9.88 24.22
1048 1035 0.88 1.52
1049 2911 7.13 9.18
1049 2729 1.82 3.04
1049 4897 11.14 23.57
1049 4229 6.19 11.64
1049 1359 3.97 7.77
1050 3542 17.08 35.83
1050 4606 5.9 10.64
1050 3200 17.43 23.62
1050 653 12.3 21.61
1050 1638 6.75 14.48
1051 2531 9.93 13.58
1051 4915 11.08 27.12
1051 1994 1.4 1.94
1051 523 4.23 7.79
1051 3515 8.23 15.22
1052 4422 18.74 41.8
1052 3086 2.6 5.05
1052 3714 15.77 19.47
1052 4155 8.93 11.4
1052 3830 14.14 32.59
1053 4416 13.86 21.38
1053 348 9.31 19.69
1053 1585 1.93 4.39
1053 1554 1.2 1.64
1053 188 17.29 43.14
1054 3520 17.0 23.09
1054 2052 19.25 42.95
1054 3778 9.55 22.1
1054 4023 12.84 21.56
1054 2194 13.05 17.87
1055 3440 5.65 9.37
1055 1747 14.54 30.65
1055 3154 6.85 9.8
1055 1882 7.04 16.18
1055 3913 14.97 23.13
1056 951 9.41 21.03
1056 487 16.58 30.13
1056 3589 14.18 32.03
1056 245 5.44 8.64
1056 1242 2.31 4.56
1057 838 4.5 5.88
1057 4668 5.48 10.43
1057 1237 12.4 22.14
1057 831 19.97 33.91
1057 3081 0.96 2.07
1058 2367 6.5 13.78
1058 3665 8.94 13.49
1058 3901 14.58 25.69
1058 2520 18.84 27.38
1058 499 12.88 25.72
1059 613 12.08 22.32
1059 1126 2.8 4.87
1059 818 5.28 9.34
1059 3574 18.71 34.56
1059 4901 18.68 40.08
1060 1465 7.94 9.57
1060 4144 1.8 2.76
1060 2091 7.98 18.85
1060 2781 16.53 26.23
1060 2315 13.54 32.33
1061 1386 16.33 27.57
1061 1211 8.89 14.33
1061 4579 9.99 16.84
1061 4677 17.82 29.5
1061 4149 19.82 40.8
1062 1732 10.65 20.73
1062 1492 1.6 3.87
1062 3404 12.74 18.61
1062 3327 4.82 10.49
1062 2184 12.31 24.21
1063 3144 6.72 12.54
1063 3097 16.29 37.9
1063 4971 11.48 16.64
1063 4947 8.3 16.84
1063 2003 8.04 10.15
1064 1126 19.84 33.2
1064 347 5.59 9.15
1064 545 12.81 27.58
1064 690 3.45 6.73
1064 3011 18.82 40.26
1065 4478 10.36 24.43
1065 571 1.98 4.56
1065 3690 11.08 27.51
1065 4744 7.75 10.75
1065 1718 3.24 5.2
1066 1217 3.57 4.49
1066 2814 11.77 17.55
1066 783 5.7 10.05
1066 3791 8.77 12.62
1066 1140 14.31 25.72
1067 1837 9.39 19.54
1067 1103 16.64 39.85
1067 977 17.33 22.87
1067 3176 13.6 16.78
1067 1537 12.77 31.17
1068 2941 15.66 37.2
1068 4082 12.13 17.81
1068 247 13.97 20.02
1068 1109 15.14 37.67
1068 3852 16.87 37.66
1069 1071 7.72 11.66
1069 2307 6.38 9.78
1069 1150 5.53 8.12
1069 3290 7.1 13.13
1069 2130 6.34 10.72
1070 2919 7.04 9.82
1070 796 2.96 4.92
1070 4949 19.12 44.15
1070 4884 19.11 42.55
1070 1015 7.89 17.89
1071 1473 5.8 13.39
1071 4248 18.49 22.52
1071 2172 0.54 1.28
1071 807 2.01 4.91
1071 4019 14.31 18.39
1072 3213 7.34 13.69
1072 4531 8.86 14.76
1072 3034 1.17 1.71
1072 2268 9.07 21.68
1072 324 16.59 39.39
1073 1241 11.62 23.86
1073 2273 2.02 4.19
1073 4284 10.65 24.04
1073 1609 13.95 29.63
1073 3342 19.1 30.89
1074 1416 14.85 21.09
1074 2242 4.15 9.68
1074 2579 1.05 1.75
1074 682 10.99 23.73
1074 2 15.67 19.01
1075 495 15.88 23.53
1075 2602 8.26 14.56
1075 659 3.81 7.65
1075 990 17.19 42.42
1075 4892 11.05 23.09
1076 2928 0.75 1.13
1076 261 19.49 35.99
1076 497 12.92 19.68
1076 1158 15.03 20.9
1076 3229 13.32 18.43
1077 4977 3.18 4.47
1077 702 3.74 4.82
1077 3216 12.63 25.15
1077 4783 8.1 11.6
1077 4222 4.62 8.87
1078 1826 18.84 40.55
1078 4808 18.27 31.16
1078 2658 10.52 18.82
1078 30 17.91 36.0
1078 3430 1.86 4.5
1079 633 15.91 31.9
1079 2748 18.97 24.96
1079 1546 11.19 16.15
1079 3951 19.82 27.25
1079 58 9.47 12.18
1080 4333 4.56 9.58
1080 1506 16.18 40.32
1080 1287 6.44 9.92
1080 1691 8.24 13.46
1080 1192 12.86 26.4
1081 1007 11.67 16.58
1081 4441 12.83 29.94
1081 2240 11.51 28.56
1081 641 0.74 0.96
1081 1818 1.67 3.93
1082 1015 15.87 27.87
1082 3305 3.98 6.69
1082 4588 16.35 23.84
1082 4672 8.54 20.25
1082 4353 13.16 25.24
1083 3852 9.66 19.17
1083 241 15.41 21.71
1083 3540 7.48 16.42
1083 617 18.17 24.0
1083 3271 11.41 27.87
1084 3425 13.58 17.06
1084 2153 7.33 13.2
1084 3216 5.93 13.33
1084 3502 7.51 10.59
1084 1632 2.96 5.4
1085 2594 8.64 13.51
1085 2046 4.66 10.06
1085 378 8.36 16.67
1085 2481 16.8 39.49
1085 671 4.37 9.68
1086 436 6.69 10.02
1086 224 18.86 44.73
1086 2897 1.33 3.16
1086 808 10.51 23.37
1086 362 15.46 18.74
1087 437 16.14 39.93
1087 4192 11.15 21.28
1087 584 13.72 27.95
1087 4207 2.45 5.97
1087 1909 5.17 10.2
1088 3254 1.81 3.07
1088 292 11.92 24.34
1088 3700 17.32 28.25
1088 50 8.16 12.86
1088 2934 19.8 42.42
1089 62 19.82 45.21
1089 3207 5.81 14.1
1089 597 3.63 6.83
1089 1892 15.24 30.43
1089 3878 11.44 19.49
1090 1229 19.1 44.23
1090 2044 19.99 31.97
1090 1402 4.25 8.72
1090 3682 5.01 8.76
1090 3798 19.76 46.77
1091 2108 18.34 30.74
1091 236 7.4 18.31
1091 3296 7.17 17.52
1091 3744 16.81 38.0
1091 2973 14.86 33.55
1092 4301 11.8 25.26
1092 1655 16.65 31.63
1092 1991 1.86 2.7
1092 3180 13.53 18.05
1092 565 7.4 14.46
1093 1509 6.6 9.27
1093 1973 2.18 3.29
1093 4938 6.93 10.86
1093 4996 10.67 12.94
1093 422 7.16 14.6
1094 4456 10.72 19.79
1094 2848 12.9 26.18
1094 2460 3.05 3.7
1094 3447 17.96 39.06
1094 4144 17.04 25.92
1095 3773 0.88 1.26
1095 4765 19.97 49.87
1095 4139 3.3 8.02
1095 3538 1.93 3.13
1095 1767 11.47 23.21
1096 1708 11.22 25.15
1096 4917 14.25 32.96
1096 1328 12.55 23.44
1096 2483 3.14 7.17
1096 1722 9.53 23.71
1097 1754 16.66 33.82
1097 171 10.16 19.67
1097 4585 8.19 15.08
1097 3794 11.8 29.21
1097 4174 11.08 22.34
1098 730 16.63 31.25
1098 4396 9.34 19.79
1098 2739 16.8 23.22
1098 3125 15.81 24.79
1098 2166 11.88 23.2
1099 2450 3.3 6.64
1099 295 0.92 1.32
1099 2900 7.88 14.8
1099 214 5.58 9.71
1099 4227 1.02 2.35
1100 1363 14.63 28.26
1100 616 3.93 9.53
1100 2703 10.82 20.05
1100 3201 17.18 26.53
1100 2042 18.14 40.31
1101 1472 8.75 14.63
1101 847 14.15 23.01
1101 2412 15.58 20.21
1101 1249 15.02 23.81
1101 2888 11.38 23.0
1102 962 13.48 26.27
1102 61 6.19 11.3
1102 2457 11.62 16.69
1102 3395 18.89 45.88
1102 2487 15.66 36.67
1103 2297 7.09 9.61
1103 4006 14.83 20.53
1103 3253 19.62 28.72
1103 2700 1.78 2.59
1103 2840 6.12 13.47
1104 1613 5.97 8.03
1104 1069 10.78 18.94
1104 2221 9.91 11.98
1104 4847 19.92 36.94
1104 2232 11.91 15.87
1105 1098 7.94 9.81
1105 4770 0.89 1.47
1105 3736 8.9 21.42
1105 1103 15.67 21.13
1105 4378 16.32 40.39
1106 4097 7.35 11.01
1106 531 7.6 9.26
1106 2099 12.86 30.85
1106 4231 13.18 24.17
1106 3094 13.35 23.06
1107 1386 19.04 32.71
1107 461 18.36 29.18
1107 4756 16.9 28.69
1107 4433 14.58 25.54
1107 2450 15.77 24.69
1108 938 0.84 1.75
1108 3676 8.42 18.34
1108 2815 7.76 11.59
1108 643 16.09 39.74
1108 1271 8.62 18.98
1109 2495 16.73 25.41
1109 2533 14.25 19.59
1109 1369 9.53 22.96
1109 3931 1.62 3.64
1109 4439 2.92 6.67
1110 4589 6.65 15.25
1110 3761 7.14 11.22
1110 4685 17.93 26.12
1110 2384 19.81 32.74
1110 3626 15.87 38.05
1111 1157 7.5 13.25
1111 2690 7.16 16.21
1111 2233 14.64 34.53
1111 4433 4.53 7.0
1111 4161 10.1 24.89
1112 2911 15.51 20.09
1112 2888 14.02 26.43
1112 867 15.37 36.6
1112 3154 12.57 24.51
1112 297 9.87 14.93
1113 3633 5.7 12.19
1113 3017 0.71 1.62
1113 4334 11.91 17.11
1113 2126 13.75 26.24
1113 1305 8.88 18.49
1114 4646 1.6 2.56
1114 2058 10.64 16.95
1114 4518 2.35 4.47
1114 1481 10.09 13.33
1114 1449 17.25 40.74
1115 3197 5.6 7.06
1115 657 8.53 20.31
1115 684 16.44 21.13
1115 1360 9.22 16.67
1115 4738 19.98 41.97
1116 717 2.2 4.08
1116 1093 5.23 7.36
1116 2167 10.34 20.57
1116 1331 10.95 19.72
1116 3705 12.62 23.05
1117 4324 9.1 17.39
1117 2251 1.82 2.41
1117 3550 17.75 38.69
1117 1850 3.34 4.72
1117 4965 5.08 10.91
1118 2668 11.38 14.9
1118 4629 7.13 13.15
1118 1757 16.97 33.14
1118 4893 4.24 5.42
1118 4605 5.38 10.07
1119 3175 16.27 37.21
1119 3512 15.85 36.54
1119 2364 11.22 21.51
1119 2112 16.59 22.44
1119 4180 9.34 19.05
1120 2357 18.82 46.12
1120 3114 18.99 29.22
1120 2181 16.81 41.39
1120 1369 18.36 29.74
1120 3861 15.34 36.49
1121 4880 10.68 16.84
1121 4563 14.07 26.98
1121 4593 13.79 25.0
1121 4487 11.84 28.68
1121 4513 17.82 37.66
1122 4293 16.65 24.9
1122 2936 16.6 27.94
1122 3651 13.53 22.34
1122 4992 3.96 5.92
1122 213 16.27 35.51
1123 3421 12.6 19.53
1123 1216 6.73 15.85
1123 3424 5.25 8.39
1123 3151 7.31 9.19
1123 324 9.99 16.8
1124 883 7.68 19.1
1124 4739 2.87 3.51
1124 3547 6.12 12.14
1124 1917 16.07 36.72
1124 2356 18.27 34.1
1125 4696 17.94 37.83
1125 2920 8.39 17.39
1125 4892 12.8 26.43
1125 3163 0.66 1.11
1125 3599 8.0 18.45
1126 2552 16.75 29.67
1126 3803 11.68 26.84
1126 3382 5.72 13.07
1126 2090 9.4 11.74
1126 559 17.41 30.07
1127 3724 4.32 7.41
1127 4793 18.24 32.99
1127 90 11.14 22.97
1127 2351 7.86 12.19
1127 4617 6.36 8.93
1128 4777 3.93 5.5
1128 63 13.13 17.48
1128 726 7.74 18.36
1128 26 19.26 35.18
1128 2407 7.8 19.45
1129 3098 10.75 16.66
1129 361 7.23 9.73
1129 4269 15.56 29.44
1129 4484 18.24 33.84
1129 4367 3.91 8.99
1130 72 9.94 14.71
1130 3124 6.97 16.68
1130 2816 6.99 11.26
1130 2764 12.39 29.5
1130 2971 5.46 13.38
1131 262 9.99 18.7
1131 1434 2.67 5.39
1131 67 11.92 27.25
1131 3536 5.76 6.92
1131 1272 1.51 2.68
1132 4965 6.9 9.86
1132 2423 5.79 8.57
1132 4354 2.78 5.83
1132 3066 13.87 27.42
1132 2322 7.77 15.86
1133 1837 4.19 10.23
1133 1946 15.35 22.62
1133 1950 8.72 18.82
1133 1119 14.57 33.49
1133 4923 0.89 2.19
1134 2523 0.72 1.24
1134 766 6.41 13.56
1134 4842 18.93 29.86
1134 122 14.99 23.8
1134 2620 1.59 2.78
1135 2675 10.19 21.54
1135 113 1.86 3.51
1135 646 5.36 12.08
1135 754 11.4 20.73
1135 2030 8.84 19.7
1136 2747 3.45 8.32
1136 456 11.38 25.25
1136 1498 5.77 11.99
1136 4804 17.84 28.85
1136 4976 8.72 19.45
1137 906 19.25 37.02
1137 3205 13.05 30.09
1137 4028 8.84 20.5
1137 1278 5.23 12.28
1137 2884 2.2 5.11
1138 944 13.81 26.04
1138 3400 10.34 23.07
1138 4509 14.84 29.23
1138 2615 14.7 32.89
1138 4509 4.65 6.63
1139 346 15.44 29.42
1139 1841 16.04 32.22
1139 1275 6.33 14.8
1139 4542 3.66 6.77
1139 4391 8.04 18.13
1140 4154 10.68 15.27
1140 747 13.05 17.35
1140 4336 18.79 24.17
1140 1395 17.86 37.86
1140 3970 8.75 21.69
1141 3355 10.13 21.46
1141 4601 18.36 26.07
1141 108 7.58 14.19
1141 1982 14.21 29.42
1141 3626 11.51 20.34
1142 197 11.65 27.47
1142 4971 14.3 17.94
1142 376 3.17 6.54
1142 2835 19.09 35.35
1142 3508 5.79 10.88
1143 3972 17.23 38.0
1143 2492 1.48 2.38
1143 2559 4.36 6.54
1143 4471 14.0 21.54
1143 469 18.27 25.58
1144 834 8.37 17.19
1144 1748 3.73 7.66
1144 1042 10.07 21.24
1144 3203 15.42 21.66
1144 4192 10.52 20.25
1145 3849 19.34 43.65
1145 4974 15.8 26.23
1145 1235 17.48 22.7
1145 2754 4.55 10.37
1145 3256 11.49 22.05
1146 3899 7.89 15.31
1146 3743 4.91 9.33
1146 2906 5.64 13.1
1146 3076 7.19 16.42
1146 4279 15.13 19.59
1147 2416 12.53 29.71
1147 1450 13.31 16.99
1147 4640 17.08 21.91
1147 4277 10.91 18.88
1147 3777 10.61 24.72
1148 4257 13.22 24.12
1148 3116 17.6 42.6
1148 382 4.37 10.09
1148 859 13.95 30.2
1148 4704 16.96 41.39
1149 3204 17.85 22.35
1149 2336 6.88 9.68
1149 2198 14.1 28.28
1149 324 14.52 19.18
1149 4047 3.45 5.51
1150 911 17.13 24.52
1150 848 17.74 43.82
1150 291 1.42 2.57
1150 3131 8.65 15.09
1150 3889 13.94 27.11
1151 2880 11.97 14.76
1151 3475 15.91 26.2
1151 3301 15.5 30.11
1151 3318 5.82 13.72
1151 2689 3.62 8.5
1152 915 8.58 19.3
1152 4331 18.67 34.48
1152 1326 5.09 7.54
1152 454 9.29 15.33
1152 2823 16.74 36.55
1153 1453 8.32 19.2
1153 3354 2.68 3.76
1153 4807 2.02 3.08
1153 3385 2.23 3.15
1153 1813 1.43 3.48
1154 1000 6.51 8.27
1154 3407 10.93 16.81
1154 3906 19.8 26.81
1154 1946 8.27 12.71
1154 2142 3.47 7.63
1155 1486 9.66 21.55
1155 2233 7.39 11.21
1155 1848 16.24 25.42
1155 1460 2.12 4.69
1155 1753 3.27 6.2
1156 2146 2.37 3.84
1156 964 3.58 6.44
1156 145 17.76 29.31
1156 3352 9.02 20.17
1156 3146 8.15 13.27
1157 3500 2.13 4.56
1157 1808 19.18 34.37
1157 1483 14.55 28.52
1157 1355 2.86 5.75
1157 2776 8.49 19.66
1158 4563 6.6 12.75
1158 3413 5.19 7.35
1158 4687 18.56 28.08
1158 2727 14.52 20.28
1158 4174 16.81 37.93
1159 4529 8.23 15.92
1159 1017 7.33 18.21
1159 16 18.21 30.77
1159 1984 14.94 31.6
1159 4757 19.7 48.79
1160 153 7.5 15.99
1160 4709 13.65 28.26
1160 1570 3.01 4.38
1160 3084 12.07 18.97
1160 4515 1.35 3.08
1161 1510 6.3 15.42
1161 3490 12.49 17.43
1161 1375 13.43 21.36
1161 2320 10.66 24.39
1161 895 16.6 35.93
1162 3863 15.12 22.32
1162 699 3.44 6.67
1162 1425 18.6 27.07
1162 4247 15.48 26.69
1162 746 18.8 35.71
1163 4131 14.67 17.76
1163 1022 4.36 9.32
1163 4021 3.38 6.0
1163 1266 19.73 43.04
1163 4254 5.39 11.56
1164 1783 9.14 16.89
1164 1207 1.85 2.85
1164 4158 11.11 27.71
1164 1679 10.11 17.59
1164 3511 18.06 38.55
1165 338 8.61 14.04
1165 145 1.86 2.68
1165 720 14.06 18.39
1165 234 11.6 23.6
1165 4752 7.79 13.27
1166 2600 10.66 14.88
1166 4731 13.11 21.92
1166 4673 1.13 1.39
1166 1310 10.17 14.12
1166 217 3.86 5.68
1167 1526 0.83 1.26
1167 2764 13.76 32.52
1167 61 10.86 15.01
1167 1632 17.75 39.45
1167 3222 5.25 7.05
1168 1085 3.23 4.7
1168 1368 17.39 28.32
1168 224 14.64 26.07
1168 4285 4.54 10.44
1168 2481 13.09 29.53
1169 4862 5.02 9.08
1169 3375 6.58 9.02
1169 787 5.07 11.97
1169 2178 4.33 8.87
1169 4289 8.8 11.61
1170 3210 14.14 19.34
1170 40 10.63 16.14
1170 4560 8.53 11.01
1170 3043 16.56 35.35
1170 3104 2.6 5.76
1171 4993 2.54 5.85
1171 1386 7.97 14.88
1171 1198 15.84 36.1
1171 2260 10.02 16.11
1171 3966 0.98 1.39
1172 1662 6.26 9.5
1172 3351 15.16 33.78
1172 4215 11.4 26.85
1172 4602 19.02 42.2
1172 4218 7.41 12.09
1173 3848 7.51 16.8
1173 316 1.97 2.48
1173 2953 19.29 47.51
1173 143 4.74 9.34
1173 1022 1.86 3.55
1174 1135 10.86 15.98
1174 744 10.24 21.04
1174 517 1.86 4.01
1174 3538 8.85 18.3
1174 4957 5.04 6.8
1175 4491 19.2 32.06
1175 1355 3.98 4.9
1175 814 17.05 36.49
1175 1357 12.02 18.0
1175 4980 18.34 30.26
1176 3926 8.97 14.2
1176 2569 2.3 4.73
1176 4629 6.42 9.3
1176 3900 10.61 13.44
1176 772 4.96 10.35
1177 2109 15.25 31.79
1177 257 12.42 30.46
1177 2965 7.7 13.57
1177 929 8.02 18.63
1177 1838 14.25 32.75
1178 4639 16.56 20.07
1178 1106 18.78 42.44
1178 2996 5.11 8.31
1178 4175 1.28 2.66
1178 4115 9.48 13.99
1179 567 9.71 16.36
1179 2956 6.78 11.79
1179 3018 18.46 34.55
1179 3560 13.41 18.71
1179 1984 3.44 4.22
1180 3770 16.16 30.22
1180 3994 2.51 3.36
1180 4532 11.91 21.28
1180 2850 1.44 1.91
1180 1610 6.05 10.02
1181 4339 9.35 23.13
1181 570 13.07 20.29
1181 2739 3.41 7.01
1181 2402 9.97 16.18
1181 2741 5.0 7.11
1182 949 3.8 4.99
1182 3878 16.77 35.07
1182 1159 8.03 18.15
1182 2760 11.03 19.81
1182 218 4.58 6.25
1183 744 6.22 9.03
1183 4071 12.57 17.94
1183 4463 0.55 1.04
1183 1723 10.93 22.72
1183 2577 0.77 0.96
1184 3367 8.25 18.03
1184 3968 16.02 38.22
1184 3189 4.95 7.91
1184 2861 1.76 4.12
1184 4506 0.71 1.05
1185 3938 10.81 23.11
1185 4208 19.84 47.64
1185 2239 13.43 19.03
1185 2524 13.02 17.04
1185 955 13.18 32.88
1186 608 16.97 39.15
1186 2490 9.6 18.26
1186 620 9.44 22.77
1186 172 13.63 33.52
1186 3405 11.91 15.59
1187 272 6.1 12.38
1187 4703 7.98 11.47
1187 3788 16.68 26.92
1187 3279 2.1 5.02
1187 2002 6.8 8.25
1188 2770 1.59 3.52
1188 809 11.07 17.61
1188 2320 19.56 48.22
1188 1013 19.45 47.3
1188 2483 17.77 30.47
1189 4465 15.41 20.69
1189 1153 1.06 2.42
1189 2147 2.1 3.49
1189 974 7.47 9.46
1189 661 14.69 24.81
1190 3081 16.87 38.04
1190 2793 8.0 13.79
1190 4639 10.23 24.19
1190 3852 16.06 27.59
1190 3517 6.77 11.99
1191 4445 2.85 6.12
1191 2707 3.45 6.73
1191 3805 5.23 9.21
1191 637 15.31 31.63
1191 1174 17.84 38.86
1192 4427 6.8 13.21
1192 4665 6.09 8.59
1192 2479 11.98 21.04
1192 2254 4.72 9.8
1192 994 13.01 18.12
1193 3767 5.7 9.53
1193 4152 13.23 18.47
1193 2755 4.18 10.03
1193 3300 10.05 12.4
1193 3149 15.38 35.82
